customer_id,name,phone,city,state,zipcode,age,gender,marital_status,dependents,education_level,occupation,employment_status,annual_income,credit_score,existing_loans,avg_monthly_expense,vehicle_owner,vehicle_type,budget_per_month,customer_tenure_years,coverage_preferences,risk_tolerance,interest_tags
CUST_731262,Angie Hatfield,001-527-755-1036x9606,Miami,Florida,33101,21,nonbinary,single,0,high_school,intern,employed,53434,729,multiple,3992.53,True,bike,116,0.8,['life'],High,"['education', 'vehicle']"
CUST_201414,Jennifer Brooks,(447)613-8971,Minneapolis,Minnesota,55419,32,nonbinary,married,3,bachelor,manager,self-employed,68618,691,none,6023.9,False,none,181,7.1,"['auto', 'health']",Low,"['travel', 'family']"
CUST_183667,Stephanie Carroll,5944450736,Chicago,Illinois,60602,58,female,divorced,3,bachelor,manager,self-employed,35164,738,multiple,2755.76,False,none,285,6.0,['health'],High,"['education', 'family', 'maternity']"
CUST_771088,Stephen Meadows,001-673-536-9960x49523,Seattle,Washington,98101,75,male,married,2,bachelor,advisor,retired,44260,791,car,3758.38,False,none,136,6.3,['life'],Low,"['retirement', 'education', 'family', 'maternity']"
CUST_377746,Tyler Wallace,001-314-469-7687x811,Miami,Florida,33130,34,nonbinary,married,1,bachelor,engineer,self-employed,56290,685,home,4964.41,False,none,390,8.8,"['life', 'auto']",Medium,"['travel', 'education', 'family']"
CUST_500156,Jeff Mccoy,(667)734-2055x893,New York,New York,10001,67,nonbinary,divorced,3,phd,shop owner,retired,46175,685,home,3909.83,True,car,124,8.7,['life'],High,"['family', 'maternity', 'education', 'retirement', 'vehicle']"
CUST_738551,Rhonda Campbell,(571)623-5594x39748,San Jose,California,95110,53,female,widowed,1,bachelor,salesperson,self-employed,80370,794,none,6086.42,True,car,332,0.5,"['life', 'auto']",Low,"['vehicle', 'family', 'maternity']"
CUST_897549,Donna Wu,(985)276-7124x3104,New York,New York,10001,43,male,married,3,master,teacher,self-employed,31276,746,car,2961.93,False,none,257,2.8,['health'],Low,['family']
CUST_454508,Lisa Lewis,389.230.4771,San Jose,California,95101,28,nonbinary,married,3,master,engineer,self-employed,43880,671,home,2996.33,False,none,304,10.0,"['home', 'auto']",Medium,"['education', 'family', 'maternity']"
CUST_595631,Sarah Costa,+1-315-691-4667x5926,Minneapolis,Minnesota,55419,55,male,married,1,bachelor,teacher,employed,48834,732,car,3361.58,True,car,242,6.9,['life'],High,"['family', 'vehicle']"
CUST_542374,Dennis Conley,001-433-373-9213x723,New York,New York,10002,71,female,married,1,master,shop owner,retired,47759,672,none,3961.59,True,none,150,1.1,"['health', 'home']",Low,"['retirement', 'education', 'family', 'vehicle']"
CUST_509386,William Martinez,556-338-8173,New York,New York,10002,49,male,divorced,1,bachelor,manager,employed,110855,672,none,7817.62,False,none,221,2.1,"['home', 'health']",Medium,"['travel', 'family', 'maternity']"
CUST_656926,Harry Johnson,(282)344-3395,Chicago,Illinois,60602,38,female,married,3,master,technician,employed,64890,714,none,5650.7,True,none,131,7.6,['health'],High,"['education', 'family', 'vehicle']"
CUST_378517,Douglas Waters,001-845-259-3376,New York,New York,10001,52,male,divorced,1,bachelor,freelancer,employed,92923,585,multiple,8766.79,True,none,120,6.4,"['auto', 'life']",Low,"['family', 'vehicle']"
CUST_265409,Christina Mitchell,001-381-857-7209x16204,Dallas,Texas,75201,62,nonbinary,married,2,bachelor,retired,retired,50034,596,multiple,3817.7,False,none,137,5.6,"['life', 'home']",Low,"['retirement', 'family']"
CUST_820892,Brenda Mccarthy,262-371-7506x312,Dallas,Texas,75203,65,female,divorced,3,phd,retired,retired,56346,666,none,4900.98,False,none,168,3.0,['life'],Medium,"['family', 'education', 'retirement', 'travel', 'maternity']"
CUST_256294,Laura Clark,(567)434-9393x33197,Miami,Florida,33125,52,female,married,1,master,teacher,self-employed,32889,639,home,3283.08,True,bike,182,7.5,"['health', 'home']",Low,"['family', 'vehicle']"
CUST_750810,Olivia Kelly,+1-930-400-7321x252,San Jose,California,95101,73,female,divorced,1,bachelor,shop owner,retired,22741,718,none,1970.4,False,none,207,7.0,['auto'],High,"['retirement', 'family']"
CUST_582662,Mary Ashley,796-480-7064,Miami,Florida,33101,35,male,divorced,1,bachelor,manager,employed,83540,645,personal,6004.92,False,none,227,3.0,['home'],Low,"['family', 'maternity']"
CUST_708792,Lindsey Coleman MD,+1-864-695-6852x6928,Chicago,Illinois,60602,72,male,married,3,master,consultant,retired,41512,615,none,3643.64,False,none,242,3.8,"['auto', 'health']",Low,"['retirement', 'family', 'maternity']"
CUST_306606,Melissa Sherman,001-961-817-3207x19954,Chicago,Illinois,60601,26,nonbinary,married,3,master,technician,self-employed,69728,787,none,4673.09,True,none,197,2.9,"['health', 'auto']",High,"['family', 'vehicle']"
CUST_745414,Brad Cole,+1-417-609-7538,Chicago,Illinois,60602,24,nonbinary,married,3,high_school,assistant,employed,79363,686,personal,6331.0,True,none,251,5.8,['home'],High,"['education', 'family', 'vehicle']"
CUST_958179,William Cantrell,001-748-595-0477x64203,San Jose,California,95110,45,nonbinary,divorced,2,bachelor,doctor,self-employed,81495,704,car,6317.48,True,bike,209,5.4,['health'],Medium,"['travel', 'family', 'vehicle']"
CUST_821024,Alisha Montgomery,+1-384-349-1002x441,Seattle,Washington,98101,63,female,married,1,bachelor,consultant,retired,23028,614,personal,2051.64,True,car,333,4.4,['home'],Medium,"['family', 'maternity', 'education', 'retirement', 'vehicle']"
CUST_567574,Mrs. Christine Cooper,001-711-574-8203x8725,Minneapolis,Minnesota,55414,69,female,married,3,bachelor,shop owner,retired,56530,667,none,5026.68,True,bike,371,9.9,"['home', 'auto']",High,"['retirement', 'family', 'vehicle']"
CUST_840734,Richard Brown,(952)319-3807,New York,New York,10003,75,female,married,1,phd,advisor,retired,51758,706,car,3940.84,True,none,246,2.7,"['auto', 'home']",Low,"['family', 'maternity', 'education', 'retirement', 'vehicle']"
CUST_976325,Eric Perkins,+1-829-289-0115x13592,New York,New York,10001,46,female,married,2,bachelor,manager,employed,95069,630,multiple,7957.31,False,none,110,8.6,"['home', 'health']",Medium,"['education', 'family']"
